epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2985,1.50154,3.52869,1.19695,0.48773,0.22487,0.31295,0.20555,1.23602,2.72219,1.05704,0.00022033,0.00022033,0.00022033
2,25.2375,1.35158,2.00611,1.08807,0.80021,0.61184,0.71378,0.49353,1.133,1.25925,1.04218,0.000438281,0.000438281,0.000438281
3,37.0288,1.21732,1.48349,1.04284,0.90373,0.70391,0.80868,0.56847,1.09483,0.98934,1.02276,0.00065183,0.00065183,0.00065183
4,48.2129,1.16633,1.29134,1.03058,0.89266,0.72971,0.83537,0.58292,1.09072,0.93223,1.0196,0.00064719,0.00064719,0.00064719
5,59.1013,1.1407,1.18387,1.01764,0.90667,0.72408,0.84589,0.61647,0.98919,0.82596,1.00218,0.000640587,0.000640587,0.000640587
6,69.783,1.10744,1.10897,1.00825,0.91404,0.78011,0.869,0.64024,0.96393,0.76099,0.9962,0.000633983,0.000633983,0.000633983
7,81.0239,1.0429,1.02719,0.99064,0.92622,0.77976,0.87056,0.64452,0.9683,0.71958,1.00631,0.00062738,0.00062738,0.00062738
8,97.9434,1.02449,0.98556,0.98684,0.89505,0.78897,0.87544,0.65392,0.9402,0.73471,0.98777,0.000620777,0.000620777,0.000620777
9,114.843,0.98654,0.91782,0.97473,0.94594,0.78544,0.88111,0.66004,0.93714,0.67488,0.98918,0.000614174,0.000614174,0.000614174
10,131.567,1.00716,0.92662,0.98334,0.90117,0.79711,0.88334,0.66273,0.94533,0.66712,1.00031,0.00060757,0.00060757,0.00060757
11,148.292,0.98062,0.85941,0.97108,0.91713,0.78959,0.88395,0.6766,0.88378,0.65232,0.99271,0.000600967,0.000600967,0.000600967
12,165.073,0.96482,0.84499,0.98105,0.93195,0.80215,0.88872,0.6745,0.8909,0.62696,0.98022,0.000594364,0.000594364,0.000594364
13,181.958,0.94054,0.83607,0.96338,0.93605,0.80211,0.89818,0.67714,0.905,0.59532,0.98861,0.00058776,0.00058776,0.00058776
14,198.66,0.92064,0.79594,0.95789,0.91722,0.77539,0.8826,0.67339,0.86208,0.63102,0.97492,0.000581157,0.000581157,0.000581157
15,215.46,0.91735,0.76993,0.95294,0.94496,0.80683,0.90297,0.69475,0.86324,0.57754,0.97014,0.000574554,0.000574554,0.000574554
16,230.343,0.89845,0.76683,0.95457,0.91592,0.79618,0.89532,0.69907,0.81972,0.58738,0.9556,0.00056795,0.00056795,0.00056795
17,240.704,0.90279,0.73004,0.94811,0.90357,0.80451,0.89745,0.70168,0.80581,0.56131,0.95024,0.000561347,0.000561347,0.000561347
18,251.044,0.87727,0.71675,0.94308,0.9196,0.81933,0.90042,0.68658,0.86449,0.55482,0.97182,0.000554744,0.000554744,0.000554744
19,261.865,0.87693,0.71486,0.94386,0.90005,0.84168,0.90289,0.70496,0.80679,0.54736,0.95011,0.000548141,0.000548141,0.000548141
20,272.274,0.86836,0.69868,0.93788,0.89575,0.8455,0.91214,0.71504,0.8099,0.52605,0.95694,0.000541537,0.000541537,0.000541537
21,282.927,0.8503,0.67086,0.93618,0.90704,0.8381,0.91315,0.71254,0.81035,0.51549,0.94287,0.000534934,0.000534934,0.000534934
22,293.876,0.84285,0.67578,0.93127,0.90519,0.82918,0.91513,0.72972,0.76187,0.51065,0.93483,0.000528331,0.000528331,0.000528331
23,304.371,0.81353,0.64435,0.9287,0.89748,0.83056,0.90932,0.71953,0.77347,0.50961,0.9331,0.000521727,0.000521727,0.000521727
24,314.593,0.79984,0.6296,0.92287,0.90944,0.82564,0.91229,0.72139,0.78891,0.51003,0.94526,0.000515124,0.000515124,0.000515124
25,327.99,0.8145,0.62979,0.92698,0.91561,0.82398,0.91956,0.73069,0.77854,0.50854,0.93084,0.000508521,0.000508521,0.000508521
26,344.804,0.79505,0.61197,0.91755,0.90283,0.85874,0.91599,0.73433,0.7386,0.48469,0.9209,0.000501917,0.000501917,0.000501917
27,361.526,0.78271,0.60895,0.91793,0.91194,0.84019,0.91866,0.73701,0.73574,0.47751,0.92248,0.000495314,0.000495314,0.000495314
28,378.275,0.78036,0.60796,0.9144,0.926,0.81872,0.91838,0.74569,0.71791,0.47746,0.91495,0.000488711,0.000488711,0.000488711
29,394.881,0.7832,0.59985,0.91718,0.91178,0.85364,0.92176,0.74257,0.72487,0.45344,0.92048,0.000482108,0.000482108,0.000482108
30,411.705,0.76191,0.58779,0.9071,0.92942,0.83787,0.92454,0.74767,0.7324,0.46514,0.93194,0.000475504,0.000475504,0.000475504
31,428.406,0.75551,0.58867,0.91051,0.89777,0.8514,0.91868,0.73996,0.7297,0.47579,0.91839,0.000468901,0.000468901,0.000468901
32,445.066,0.76199,0.56444,0.90651,0.92138,0.85006,0.92321,0.74713,0.70978,0.45855,0.91208,0.000462298,0.000462298,0.000462298
33,461.694,0.74616,0.57079,0.90307,0.92674,0.83922,0.91959,0.74872,0.70201,0.46446,0.90441,0.000455694,0.000455694,0.000455694
34,478.492,0.74267,0.56045,0.903,0.91642,0.83484,0.92457,0.75253,0.69971,0.44943,0.91064,0.000449091,0.000449091,0.000449091
35,495.271,0.73779,0.56351,0.89893,0.92442,0.84715,0.92931,0.76222,0.66877,0.43661,0.9048,0.000442488,0.000442488,0.000442488
36,511.959,0.72145,0.54533,0.90034,0.90811,0.85502,0.92285,0.75651,0.68963,0.43748,0.90271,0.000435884,0.000435884,0.000435884
37,528.916,0.72422,0.54691,0.89434,0.92382,0.83644,0.92896,0.76364,0.66757,0.43072,0.89318,0.000429281,0.000429281,0.000429281
38,543.349,0.71779,0.53955,0.89432,0.93425,0.82338,0.92708,0.76272,0.66698,0.43457,0.90305,0.000422678,0.000422678,0.000422678
39,553.645,0.71565,0.54085,0.89513,0.90904,0.85656,0.92484,0.76575,0.65286,0.43083,0.89095,0.000416075,0.000416075,0.000416075
40,563.989,0.70258,0.52938,0.8914,0.91885,0.83957,0.9293,0.76399,0.64966,0.42186,0.89275,0.000409471,0.000409471,0.000409471
41,574.448,0.71806,0.53496,0.89336,0.92945,0.84212,0.9278,0.76203,0.66852,0.42429,0.90128,0.000402868,0.000402868,0.000402868
42,584.844,0.68748,0.51084,0.88725,0.90346,0.86113,0.92517,0.77022,0.6453,0.42501,0.89057,0.000396265,0.000396265,0.000396265
43,595.22,0.70035,0.52243,0.88489,0.91569,0.85293,0.92974,0.77374,0.62709,0.41254,0.88838,0.000389661,0.000389661,0.000389661
44,605.644,0.67829,0.50052,0.88482,0.90174,0.85468,0.92604,0.7736,0.63481,0.41944,0.8878,0.000383058,0.000383058,0.000383058
45,615.838,0.66942,0.49527,0.88401,0.90686,0.85325,0.93259,0.76799,0.6491,0.41221,0.88984,0.000376455,0.000376455,0.000376455
46,626.131,0.67548,0.50421,0.87961,0.92054,0.84639,0.93001,0.77848,0.63145,0.41309,0.88708,0.000369851,0.000369851,0.000369851
47,636.448,0.6517,0.48876,0.87703,0.9095,0.85758,0.9341,0.78254,0.63579,0.4012,0.88631,0.000363248,0.000363248,0.000363248
48,646.679,0.65493,0.48558,0.87793,0.90913,0.86003,0.93229,0.77916,0.62553,0.40361,0.88679,0.000356645,0.000356645,0.000356645
49,657.017,0.63784,0.48784,0.87099,0.89364,0.87105,0.93453,0.78201,0.61944,0.39406,0.88044,0.000350042,0.000350042,0.000350042
50,667.397,0.64205,0.48336,0.87245,0.90492,0.86546,0.93206,0.78016,0.60931,0.39719,0.88246,0.000343438,0.000343438,0.000343438
51,677.698,0.6687,0.4945,0.87655,0.90989,0.86488,0.93298,0.78513,0.6012,0.38905,0.88031,0.000336835,0.000336835,0.000336835
52,687.835,0.63115,0.47557,0.87428,0.90472,0.85635,0.93234,0.79054,0.5983,0.39819,0.87426,0.000330232,0.000330232,0.000330232
53,698.126,0.64806,0.4776,0.87235,0.90857,0.85365,0.93171,0.78292,0.59315,0.39547,0.87664,0.000323628,0.000323628,0.000323628
54,708.486,0.61731,0.46779,0.87038,0.90241,0.87013,0.93427,0.78962,0.59802,0.39246,0.87618,0.000317025,0.000317025,0.000317025
55,718.678,0.6283,0.46815,0.87412,0.91908,0.85749,0.9364,0.79482,0.5863,0.38115,0.87503,0.000310422,0.000310422,0.000310422
