epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8086,1.37161,1.88554,1.23692,0.88449,0.72201,0.82139,0.56269,1.10196,0.87004,1.11248,0.00022033,0.00022033,0.00022033
2,37.9136,1.20483,0.99839,1.11166,0.83972,0.76103,0.83099,0.55619,1.14886,0.83511,1.14757,0.000438281,0.000438281,0.000438281
3,55.7492,1.14225,0.91303,1.07522,0.87707,0.75379,0.85953,0.60937,1.07183,0.7996,1.09767,0.00065183,0.00065183,0.00065183
4,73.1684,1.12923,0.84342,1.07291,0.86511,0.79385,0.85935,0.59223,1.1203,0.70468,1.12753,0.00064719,0.00064719,0.00064719
5,90.4803,1.09057,0.79584,1.04716,0.89774,0.814,0.89282,0.62226,1.07992,0.66635,1.10815,0.000640587,0.000640587,0.000640587
6,107.934,1.03345,0.73879,1.02798,0.93018,0.82131,0.91526,0.68085,0.95701,0.54541,1.03745,0.000633983,0.000633983,0.000633983
7,125.481,0.98664,0.69298,1.00804,0.9207,0.83398,0.91691,0.67879,0.96448,0.52189,1.03704,0.00062738,0.00062738,0.00062738
8,142.831,0.96767,0.6634,0.99961,0.89181,0.8459,0.89848,0.67639,0.94259,0.5308,1.03337,0.000620777,0.000620777,0.000620777
9,160.253,0.92726,0.61571,0.98424,0.91473,0.85774,0.93254,0.71665,0.89385,0.46918,1.02405,0.000614174,0.000614174,0.000614174
10,177.359,0.94475,0.62483,0.98847,0.9174,0.85597,0.9333,0.70966,0.90589,0.47795,1.01333,0.00060757,0.00060757,0.00060757
11,193.757,0.91479,0.59417,0.97719,0.90733,0.86951,0.92393,0.70664,0.89221,0.47114,1.01066,0.000600967,0.000600967,0.000600967
12,210.414,0.90716,0.59484,0.98744,0.90594,0.86091,0.92666,0.71553,0.8917,0.47404,1.00585,0.000594364,0.000594364,0.000594364
13,227.306,0.8688,0.58849,0.96571,0.90849,0.85523,0.93188,0.72639,0.86424,0.47287,0.99712,0.00058776,0.00058776,0.00058776
14,244.402,0.85899,0.56882,0.96251,0.87585,0.88269,0.935,0.74263,0.80987,0.43567,0.97433,0.000581157,0.000581157,0.000581157
15,261.134,0.84326,0.552,0.9529,0.88268,0.88163,0.93127,0.72424,0.84769,0.44934,0.9815,0.000574554,0.000574554,0.000574554
16,277.872,0.83378,0.55883,0.95669,0.87465,0.88374,0.92667,0.72297,0.84561,0.45156,0.98876,0.00056795,0.00056795,0.00056795
17,294.567,0.81281,0.52819,0.94319,0.90532,0.86454,0.94508,0.75867,0.77255,0.4121,0.95946,0.000561347,0.000561347,0.000561347
18,311.526,0.80414,0.52736,0.93906,0.8882,0.8947,0.94327,0.76215,0.7797,0.42427,0.95784,0.000554744,0.000554744,0.000554744
19,328.461,0.80006,0.52022,0.93681,0.90979,0.86496,0.93951,0.75441,0.77746,0.41372,0.96052,0.000548141,0.000548141,0.000548141
20,345.263,0.77948,0.50893,0.92767,0.89336,0.88219,0.94222,0.75692,0.77294,0.41057,0.95665,0.000541537,0.000541537,0.000541537
21,361.726,0.75908,0.4854,0.92694,0.89891,0.87129,0.93508,0.76197,0.75637,0.41546,0.95239,0.000534934,0.000534934,0.000534934
22,378.58,0.76842,0.50073,0.92506,0.89922,0.87503,0.93865,0.76174,0.73341,0.42255,0.93969,0.000528331,0.000528331,0.000528331
23,395.313,0.73165,0.47686,0.91709,0.87155,0.89767,0.938,0.76994,0.71565,0.40705,0.93872,0.000521727,0.000521727,0.000521727
24,412.266,0.72379,0.46689,0.9168,0.91185,0.87681,0.93629,0.77058,0.70001,0.39111,0.93112,0.000515124,0.000515124,0.000515124
25,429.099,0.73413,0.4709,0.91954,0.88144,0.8941,0.94184,0.75511,0.7396,0.39842,0.94342,0.000508521,0.000508521,0.000508521
26,445.893,0.71356,0.45859,0.91041,0.90912,0.87092,0.94196,0.77826,0.68814,0.3913,0.92745,0.000501917,0.000501917,0.000501917
27,462.811,0.69316,0.46,0.90598,0.90675,0.87232,0.94161,0.78116,0.6953,0.38693,0.92537,0.000495314,0.000495314,0.000495314
28,479.744,0.69293,0.45876,0.90263,0.87206,0.89897,0.94942,0.79114,0.66681,0.36842,0.91995,0.000488711,0.000488711,0.000488711
29,496.78,0.68463,0.44667,0.90224,0.88177,0.88893,0.94764,0.79159,0.68334,0.37908,0.92353,0.000482108,0.000482108,0.000482108
30,513.38,0.66106,0.43212,0.89268,0.88877,0.88221,0.947,0.79108,0.66401,0.38168,0.92408,0.000475504,0.000475504,0.000475504
31,530.391,0.67651,0.4417,0.90257,0.88948,0.88961,0.94329,0.79091,0.65307,0.37485,0.92145,0.000468901,0.000468901,0.000468901
32,547.333,0.67237,0.42404,0.89298,0.89527,0.87708,0.95136,0.80313,0.63444,0.3574,0.9028,0.000462298,0.000462298,0.000462298
33,564.385,0.64676,0.42403,0.88821,0.88605,0.89392,0.94982,0.79972,0.64999,0.36486,0.91396,0.000455694,0.000455694,0.000455694
34,581.372,0.64302,0.41593,0.88722,0.89885,0.87459,0.94511,0.8003,0.62346,0.3755,0.90025,0.000449091,0.000449091,0.000449091
35,598.027,0.63888,0.41952,0.88333,0.88845,0.89017,0.9528,0.80876,0.62173,0.35596,0.90054,0.000442488,0.000442488,0.000442488
36,614.745,0.61884,0.40751,0.88337,0.91288,0.86163,0.95083,0.81107,0.60238,0.35412,0.90017,0.000435884,0.000435884,0.000435884
37,631.767,0.62517,0.40586,0.87955,0.93198,0.85194,0.94711,0.80484,0.62688,0.36237,0.90445,0.000429281,0.000429281,0.000429281
38,648.666,0.62114,0.40609,0.87696,0.89905,0.87714,0.94997,0.8104,0.60345,0.35128,0.8931,0.000422678,0.000422678,0.000422678
39,665.455,0.6157,0.3979,0.87846,0.91718,0.87419,0.95024,0.82108,0.59221,0.34476,0.89116,0.000416075,0.000416075,0.000416075
40,682.094,0.59775,0.39384,0.87346,0.9056,0.85254,0.94732,0.81464,0.59484,0.35666,0.89732,0.000409471,0.000409471,0.000409471
41,699.159,0.60507,0.39743,0.87576,0.92171,0.85137,0.94977,0.81291,0.60926,0.35529,0.89371,0.000402868,0.000402868,0.000402868
42,716.014,0.58093,0.3823,0.86854,0.92034,0.86308,0.95068,0.81252,0.61286,0.35154,0.8995,0.000396265,0.000396265,0.000396265
43,732.84,0.58564,0.38192,0.86602,0.85956,0.90344,0.94861,0.82471,0.57494,0.34403,0.8883,0.000389661,0.000389661,0.000389661
44,749.481,0.56151,0.36724,0.8654,0.89594,0.88248,0.95228,0.82427,0.57063,0.33685,0.88305,0.000383058,0.000383058,0.000383058
45,766.545,0.54785,0.36654,0.8626,0.91022,0.86267,0.94881,0.82404,0.55253,0.33982,0.87927,0.000376455,0.000376455,0.000376455
46,783.378,0.5595,0.37226,0.86119,0.88659,0.8859,0.9522,0.83377,0.54093,0.33204,0.87502,0.000369851,0.000369851,0.000369851
47,800.154,0.53467,0.36168,0.85844,0.88549,0.88923,0.94972,0.82509,0.5676,0.33466,0.88417,0.000363248,0.000363248,0.000363248
48,816.714,0.54307,0.36003,0.86033,0.9183,0.86174,0.95249,0.82271,0.5687,0.33553,0.87825,0.000356645,0.000356645,0.000356645
49,833.865,0.52224,0.35452,0.85257,0.85601,0.90156,0.94529,0.82379,0.55179,0.33937,0.87726,0.000350042,0.000350042,0.000350042
50,850.598,0.5299,0.35611,0.85523,0.90683,0.87841,0.95143,0.82736,0.54231,0.33109,0.87475,0.000343438,0.000343438,0.000343438
51,868.015,0.54519,0.36248,0.85581,0.91282,0.87493,0.95097,0.82673,0.54845,0.33462,0.87557,0.000336835,0.000336835,0.000336835
52,883.878,0.51845,0.34873,0.85463,0.89747,0.86858,0.94771,0.83175,0.53424,0.33457,0.86946,0.000330232,0.000330232,0.000330232
53,899.999,0.52398,0.34776,0.85192,0.90272,0.86388,0.94542,0.83259,0.53624,0.33387,0.87404,0.000323628,0.000323628,0.000323628
54,915.725,0.50015,0.33969,0.85114,0.88914,0.87935,0.94394,0.82831,0.53385,0.34101,0.87508,0.000317025,0.000317025,0.000317025
55,931.523,0.50528,0.33859,0.85084,0.91704,0.85697,0.95229,0.84039,0.5064,0.31361,0.86623,0.000310422,0.000310422,0.000310422
56,947.492,0.50802,0.3398,0.84746,0.84777,0.92442,0.95065,0.83916,0.51735,0.32495,0.86923,0.000303818,0.000303818,0.000303818
57,963.413,0.49659,0.3353,0.8462,0.90453,0.86151,0.94876,0.83419,0.52143,0.31689,0.86947,0.000297215,0.000297215,0.000297215
58,979.236,0.48099,0.32408,0.84339,0.89788,0.86286,0.94748,0.83758,0.50545,0.32543,0.86663,0.000290612,0.000290612,0.000290612
59,994.912,0.48806,0.33144,0.84754,0.89763,0.86923,0.94772,0.84534,0.5039,0.32889,0.86577,0.000284009,0.000284009,0.000284009
60,1010.89,0.48763,0.3282,0.83958,0.85056,0.9186,0.95052,0.84093,0.51018,0.32039,0.86683,0.000277405,0.000277405,0.000277405
61,1026.75,0.4878,0.32763,0.84344,0.85787,0.9121,0.95026,0.84081,0.50185,0.32246,0.86671,0.000270802,0.000270802,0.000270802
62,1042.49,0.46434,0.32255,0.83958,0.8871,0.88357,0.94959,0.84067,0.50249,0.31878,0.87174,0.000264199,0.000264199,0.000264199
63,1058.34,0.47172,0.31653,0.83745,0.90342,0.86566,0.94674,0.84264,0.48731,0.31994,0.86149,0.000257595,0.000257595,0.000257595
64,1074.12,0.46574,0.31924,0.83888,0.90855,0.85931,0.951,0.84539,0.49258,0.31124,0.86509,0.000250992,0.000250992,0.000250992
65,1090.08,0.45956,0.31232,0.83272,0.8702,0.90234,0.9484,0.84149,0.48801,0.31772,0.86352,0.000244389,0.000244389,0.000244389
66,1105.93,0.44648,0.30851,0.83662,0.90225,0.86394,0.94822,0.84904,0.47721,0.32231,0.8622,0.000237785,0.000237785,0.000237785
67,1121.72,0.44816,0.31023,0.83683,0.89342,0.876,0.95071,0.84906,0.48329,0.31579,0.86586,0.000231182,0.000231182,0.000231182
68,1137.74,0.45282,0.31355,0.83733,0.87549,0.88739,0.95091,0.84524,0.49099,0.32096,0.86454,0.000224579,0.000224579,0.000224579
69,1153.58,0.4383,0.30448,0.83319,0.90119,0.88384,0.95282,0.85478,0.47086,0.30814,0.86166,0.000217976,0.000217976,0.000217976
70,1169.48,0.43385,0.30289,0.83485,0.89093,0.88327,0.94819,0.8453,0.47273,0.31256,0.86244,0.000211372,0.000211372,0.000211372
71,1185.41,0.4342,0.30137,0.8308,0.89653,0.88267,0.95246,0.84718,0.47731,0.31027,0.864,0.000204769,0.000204769,0.000204769
72,1201.32,0.43073,0.29515,0.82945,0.89887,0.87415,0.95067,0.85484,0.46806,0.31011,0.86032,0.000198166,0.000198166,0.000198166
73,1217.35,0.42893,0.2949,0.83061,0.87913,0.89721,0.9511,0.85478,0.46401,0.31449,0.86093,0.000191562,0.000191562,0.000191562
74,1233.16,0.40966,0.28847,0.82955,0.88581,0.89495,0.95111,0.85544,0.46678,0.31559,0.86327,0.000184959,0.000184959,0.000184959
75,1249.32,0.41863,0.2882,0.82651,0.88429,0.8835,0.94884,0.85313,0.45769,0.31129,0.85972,0.000178356,0.000178356,0.000178356
76,1265.1,0.40596,0.28011,0.82621,0.90356,0.87905,0.95287,0.85546,0.45762,0.30375,0.85716,0.000171752,0.000171752,0.000171752
77,1281.07,0.41608,0.28845,0.82549,0.88569,0.89836,0.95064,0.85689,0.45745,0.29918,0.85751,0.000165149,0.000165149,0.000165149
78,1297.16,0.41104,0.28839,0.82744,0.90681,0.8709,0.95176,0.85654,0.45181,0.3022,0.8573,0.000158546,0.000158546,0.000158546
79,1313.03,0.40733,0.28041,0.82463,0.90012,0.88113,0.95344,0.85936,0.44864,0.3035,0.85842,0.000151943,0.000151943,0.000151943
80,1329.04,0.39569,0.27713,0.82221,0.91095,0.86627,0.95008,0.85712,0.45042,0.30396,0.85809,0.000145339,0.000145339,0.000145339
81,1344.84,0.39683,0.28311,0.82401,0.91618,0.86126,0.95309,0.85904,0.44688,0.30248,0.85683,0.000138736,0.000138736,0.000138736
82,1360.91,0.39084,0.27675,0.82504,0.88427,0.8694,0.94837,0.85733,0.43874,0.30942,0.85574,0.000132133,0.000132133,0.000132133
83,1377.21,0.38049,0.26627,0.82172,0.89146,0.87832,0.95,0.85814,0.43996,0.30299,0.85525,0.000125529,0.000125529,0.000125529
84,1393.48,0.38377,0.27056,0.82319,0.91573,0.85221,0.95114,0.8626,0.43232,0.3037,0.85513,0.000118926,0.000118926,0.000118926
85,1409.58,0.38233,0.26977,0.81986,0.91871,0.85945,0.9488,0.86019,0.43501,0.31093,0.85628,0.000112323,0.000112323,0.000112323
86,1425.59,0.37973,0.26946,0.8223,0.89037,0.88307,0.95059,0.86203,0.43216,0.30489,0.85713,0.00010572,0.00010572,0.00010572
87,1441.69,0.37222,0.26199,0.82023,0.89025,0.87172,0.95055,0.8606,0.43474,0.3022,0.85527,9.91162e-05,9.91162e-05,9.91162e-05
88,1457.54,0.37371,0.26237,0.82091,0.90074,0.86258,0.95045,0.85984,0.42994,0.3043,0.85365,9.25129e-05,9.25129e-05,9.25129e-05
89,1473.33,0.36633,0.2599,0.81676,0.89319,0.87577,0.95112,0.86011,0.42983,0.30392,0.85472,8.59096e-05,8.59096e-05,8.59096e-05
90,1489.5,0.36338,0.2546,0.81787,0.8942,0.87388,0.95063,0.86292,0.42792,0.30283,0.85571,7.93063e-05,7.93063e-05,7.93063e-05
91,1519.68,0.33518,0.21536,0.80274,0.91025,0.86337,0.9515,0.86216,0.42777,0.29909,0.85753,7.2703e-05,7.2703e-05,7.2703e-05
