Cod Unidade;Código da Unidade de Ensino - SISTEC;Classe;Código Municipio com DV;Instituição;Jornada de Trabalho;Município;Número de registros;Região;RSC;Titulação;Unidade de Lotação;Vinculo Carreira;Vinculo Contrato;Vinculo Professor
248;31396;D;3304557;CPII;DE;Rio de Janeiro;1;;Não Possui;Doutorado;Campus Humaitá II;Ebtt;Efetivo;Sim
212;44132;D;3304557;CPII;DE;Rio de Janeiro;1;;Não Possui;Doutorado;Campus Engenho Novo I;Ebtt;Efetivo;Sim
594;;E;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Mestrado;Reitoria do Colégio Pedro II;Pcctae;Efetivo;Não
171;1699;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Especialização;Campus Centro;Pcctae;Efetivo;Não
171;1699;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Especialização;Campus Centro;Pcctae;Efetivo;Não
213;1702;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Doutorado;Campus Engenho Novo II;Ebtt;Efetivo;Sim
594;;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Mestrado;Reitoria do Colégio Pedro II;Pcctae;Efetivo;Não
248;31396;D;3304557;CPII;DE;Rio de Janeiro;1;;Não Possui;Mestrado;Campus Humaitá II;Ebtt;Efetivo;Sim
418;1703;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Educação Básica;Campus Realengo II;Pcctae;Efetivo;Não
417;43413;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Educação Básica;Campus Realengo I;Pcctae;Efetivo;Não
212;44132;D;3304557;CPII;DE;Rio de Janeiro;1;;Não Possui;Doutorado;Campus Engenho Novo I;Ebtt;Efetivo;Sim
418;1703;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Educação Básica;Campus Realengo II;Pcctae;Efetivo;Não
417;43413;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Graduação;Campus Realengo I;Pcctae;Efetivo;Não
213;1702;D;3304557;CPII;40h;Rio de Janeiro;1;;Não Possui;Graduação;Campus Engenho Novo II;Pcctae;Efetivo;Não
